registry_key,output_file_path,source_family,source_info_path,source_registry_path,name_blank,name_en_blank,description_blank,description_en_blank,action_count_written
ob1elve,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_ob1elve.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/ob1elve/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/ob1elve/registry.yaml,false,false,false,false,20
fire_sting,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_fire_sting.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/fire_sting/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/fire_sting/registry.yaml,false,false,false,false,7
pyro_io,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_pyro_io.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/pyro_io/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/pyro_io/registry.yaml,false,false,false,false,46
gsioc,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_gsioc.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/gsioc/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/gsioc/registry.yaml,false,false,false,false,5
graphic,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_graphic.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/graphic/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/graphic/registry.yaml,false,false,false,false,45
star_backend,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_star_backend.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/star_backend/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/star_backend/registry.yaml,false,false,false,false,277
vantage_backend,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_vantage_backend.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/vantage_backend/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/vantage_backend/registry.yaml,false,false,false,false,106
hamilton_tcp_backend,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_hamilton_tcp_backend.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/hamilton_tcp_backend/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/hamilton_tcp_backend/registry.yaml,false,false,false,false,9
heraeus_cytomat_backend,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_heraeus_cytomat_backend.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/heraeus_cytomat_backend/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/heraeus_cytomat_backend/registry.yaml,false,false,false,false,16
inheco_incubator_shaker_stack_backend,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_inheco_incubator_shaker_stack_backend.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/inheco_incubator_shaker_stack_backend/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/inheco_incubator_shaker_stack_backend/registry.yaml,false,false,false,false,70
incubator_shaker_stack,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_incubator_shaker_stack.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/incubator_shaker_stack/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/incubator_shaker_stack/registry.yaml,false,false,false,false,11
inheco_incubator_shaker_unit,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_inheco_incubator_shaker_unit.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/inheco_incubator_shaker_unit/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/inheco_incubator_shaker_unit/registry.yaml,false,false,false,false,68
ndram_dataset_java,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_ndram_dataset_java.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/ndram_dataset_java/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/ndram_dataset_java/registry.yaml,false,false,false,false,6
doppler,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_doppler.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/doppler/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/doppler/registry.yaml,false,false,false,false,37
localisation_rule,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_localisation_rule.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/localisation_rule/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/localisation_rule/registry.yaml,false,false,false,false,2
minipump,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_minipump.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/minipump/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/minipump/registry.yaml,false,false,false,false,5
plate_reader,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_plate_reader.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/plate_reader/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/plate_reader/registry.yaml,false,false,false,false,8
